,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,s115,s116,s117,s118,s119,s120,s121,s122,s123,s124,s125,s126,s127,s128,s129,s130,s131,s132,s133,s134,s135,s136,s137,s138,s139,s140,s141,s142,s143,s144,s145,s146,s147,s148,s149,s150,s151,s152,s153,s154,s155,s156,s157,s158,s159,s160,s161,s162,s163,s164,s165,s166,s167,s168,s169,s170,s171,s172,s173,s174,s175,s176,s177,s178,s179,s180,s181,s182,s183,s184,s185,s186,s187,s188,s189,s190,s191,s192,s193,s194,s195,s196,s197,s198,s199,s200,s201,s202,s203,s204,s205,s206,s207,s208,s209,s210,s211,s212,s213,s214,s215,s216,s217,s218,s219,s220,s221,s222,s223,s224,s225,s226,s227,s228,s229,s230,s231,s232,s233,s234,s235,s236,s237,s238,s239,s240,s241,s242,s243,s244,s245,s246,s247,s248,s249,s250,s251,s252,s253,s254
user11,1,1,0,2,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,6,0,0,0,0,0,3,0,0,25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1
user12,0,0,0,0,0,1,0,0,0,0,2,0,10,8,0,0,0,7,0,2,0,1,4,0,0,2,0,0,0,0,0,0,7,0,4,0,1,0,0,0,0,0,0,0,0,0,1,40,0,0,4,0,0,3,0,0,0,0,0,28,0,0,2,2,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,14,0,0,4,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,27,0,0,6,0,0,0,3,0,0,12,0,0,0,0,5,7,0,8,0,4,2,0,2,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,8,8,1,0,23,0,8,0,0,0,5,0,0,0,2,1,0,0,0,39,0,9,0,0,34,0,7,0,0,0,0,0,20,4,13,1,2,0,7,0,4,0,0,0,1,1,0,8,0,0,0,4,0,0,0,0,3,3,0,0,0,0,7,0,1,0,0,2,1,0,1,0,1,15,0,0,0,1,2,0,13,0,9,0,0,0,0,0,0,0,0,6,0,0,7,0,0,2,0,0,0,2,0,4,6,0,0,0,0,0,15,0
user13,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,5,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
user14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0
user16,0,2,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,11,0,0,0,0,0,3,0,0,0,0,0,4,3,1,2,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,0,26,7,1,0,0,0,0,0,10,1,0,0,3,1,0,0,0,2,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,13,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,2,0,4,2,2,1,0,2,1,0,0,0,0,0,0,9,0,0,14,6,4,5,1,3,0,0,0,0,0,3,0,2,0,1,0,0,2,0,0,9,0,0,0,0,4,0,0,0,6,0,0,1,1,2,0,0,0,9,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,2,0,0,2,9,0,1,0,0,2,0,0,1,1,4,0,0,1,0,0,0,0,1,0,2,0,5,0,0,2,11,0,0
user17,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,2,0,2,1,0,0,2,1,0,0,0,0,3,0,3,0,0,1,0,0,0,0,2,0,0,0,0,1,5,9,0,5,10,2,0,1,0,0,0,0,0,0,0,3,0,0,2,10,0,0,0,3,0,7,0,1,0,3,0,0,0,18,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,0,9,0,0,7,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,3,7,2
user18,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,3,0,0,0,74,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,15,0,3,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,6,20,0,0,0,0,0,0,2,0
user19,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,9,0,6,0,0,0,1,0,0,0,1,1,19,0,0,0,0,1,0,109,0,0,0,0,10,0,0,0,0,0,1,0,0,0,5,0,0,26,0,34,0,0,0,0,0,0,0,0,0,14,0,7,0,0,0,6,50,0,0,8,0,0,0,0,0,0,3,0,0,0,0,22,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,15,0,1,0,0,0,3,33,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,54,0,0,0,0,0,0
user20,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,6,3,4,0,0,1,4,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,3,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
user21,0,9,0,1,0,21,0,0,4,0,0,0,0,2,0,12,18,7,12,4,0,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,9,0,0,0,0,5,0,0,6,3,0,5,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,0,0,0,0,0,0,15,0,0,0,12,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,11,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,12,1,0,0,0,0,2,17,2,6,0,7,0,0,5,0,2,0,0,0,3,0,0,0,0,0,0,0,0,13,0,0,1,7,0,0,0,0,0,4,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,14,0,0,26,0,7,0
user22,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,2,0,21,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,10,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,8,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,74,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,21,0,0,2,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,20,0,0,0,0,0,0,0,2,0,0,0,0
user23,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,78,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,120,4,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,22,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,64,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,28,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,14,0,0,2,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,26,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,52,0,0,0,0,0,0,0,0,0,0,6,0,200,0,0,0,0,0,0
user24,2,10,0,2,8,2,0,6,2,0,0,0,0,0,2,16,4,0,2,14,0,4,0,4,0,0,0,4,22,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,18,0,2,2,0,0,2,0,0,4,0,0,2,76,6,4,0,2,0,2,0,6,0,6,2,0,14,10,6,0,0,0,6,0,0,2,2,0,0,2,2,10,0,4,0,6,14,2,0,0,2,4,0,0,0,8,16,2,0,0,0,2,0,2,6,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,4,0,6,6,2,0,0,0,2,0,0,6,2,4,0,18,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,4,0,4,0,2,8,2,0,0,6,0,0,2,12,2,0,0,8,0,10,0,0,4,0,6,0,4,0,0,0,0,2,4,14,0,2,10,8,0,16,0,0,0,0,14,10,2,2,2,2,0,0,14,0,0,0,0,0,4,2,2,10,0,2,0,2,2,0,0,2,0,0,8,2,0,6,26,0,0,0,0,26,0,2,2,0,12,2,2,2,0,0,0
